,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
1768,2020-03-08,PA,6.0,0.0,6,37.7,14.1,2.7,0.0,0,29,7,8,30,39,3,821,300,1273,442,1156984
1769,2020-03-08,RI,3.0,0.0,45,41.1,24.5,7.5,0.02,0,25,8,25,16,0,6,821,300,1273,442,1156984
1759,2020-03-08,NE,1.0,0.0,23,58.0,944.2,16.8,0.0,0,35,11,0,26,0,9,821,300,1273,442,1156984
1760,2020-03-08,NH,4.0,0.0,47,35.3,3.0,7.0,0.0,0,28,15,0,15,49,3,821,300,1273,442,1156984
1761,2020-03-08,NJ,6.0,0.0,37,42.8,25.4,8.3,0.0,0,38,10,18,44,36,8,821,300,1273,442,1156984
1762,2020-03-08,NM,0.0,0.0,48,48.1,809.7,7.5,99.99,1,22,7,0,16,34,6,821,300,1273,442,1156984
1758,2020-03-08,ND,0.0,0.0,0,29.4,949.0,8.5,0.0,0,20,3,85,19,0,9,821,300,1273,442,1156984
1764,2020-03-08,NY,105.0,0.0,197,35.7,977.1,7.0,0.0,0,42,12,46,37,17,11,821,300,1273,442,1156984
1765,2020-03-08,OH,0.0,0.0,14,41.4,987.1,5.8,0.0,0,19,5,9,34,13,3,821,300,1273,442,1156984
1766,2020-03-08,OK,1.0,0.0,11,53.0,986.7,13.1,0.03,1,24,5,33,32,31,4,821,300,1273,442,1156984
1767,2020-03-08,OR,14.0,0.0,167,28.1,999.9,1.7,99.99,1,32,11,24,57,0,2,821,300,1273,442,1156984
1763,2020-03-08,NV,1.0,0.0,15,42.6,828.1,7.4,0.0,0,27,8,28,32,27,6,821,300,1273,442,1156984
1693,2020-03-09,IA,3.0,0.0,37,45.0,978.0,11.3,0.05,1,39,10,24,30,23,3,805,362,1070,416,1136076
1703,2020-03-09,MN,2.0,0.0,82,33.6,976.8,10.1,0.0,0,28,12,18,18,35,3,805,362,1070,416,1136076
1702,2020-03-09,MI,254.0,0.0,301,51.9,990.9,9.5,99.99,1,25,8,18,36,12,3,805,362,1070,416,1136076
1700,2020-03-09,MD,5.0,0.0,78,48.0,999.9,2.3,0.0,0,42,15,33,48,33,4,805,362,1070,416,1136076
1699,2020-03-09,LA,1.0,0.0,6,61.9,21.4,6.0,0.0,1,36,11,0,35,39,7,805,362,1070,416,1136076
1698,2020-03-09,KY,4.0,0.0,21,52.0,991.6,7.9,0.0,0,48,13,22,54,31,2,805,362,1070,416,1136076
1697,2020-03-09,KS,1.0,0.0,12,50.5,975.4,11.4,0.88,1,32,9,47,22,30,6,805,362,1070,416,1136076
1696,2020-03-09,IN,2.0,0.0,2,57.7,993.0,9.5,0.0,1,43,16,44,66,37,6,805,362,1070,416,1136076
1695,2020-03-09,IL,7.0,0.0,242,52.8,986.7,20.7,0.0,1,32,11,45,43,33,3,805,362,1070,416,1136076
1694,2020-03-09,ID,0.0,0.0,41,36.4,842.9,3.2,0.0,1,21,13,0,39,0,4,805,362,1070,416,1136076
1692,2020-03-09,HI,2.0,0.0,2,69.7,2.8,9.3,0.0,1,39,20,67,24,0,3,805,362,1070,416,1136076
1704,2020-03-09,MO,1.0,0.0,1,58.0,996.5,8.9,0.09,1,41,12,22,71,39,4,805,362,1070,416,1136076
1690,2020-03-09,FL,18.0,0.0,273,65.6,26.3,7.5,99.99,1,33,10,36,45,34,4,805,362,1070,416,1136076
1689,2020-03-09,DE,0.0,0.0,18,48.0,999.9,9.1,0.0,0,32,5,36,13,0,8,805,362,1070,416,1136076
1688,2020-03-09,DC,1.0,0.0,18,54.8,999.9,5.4,0.0,0,61,24,0,21,29,0,805,362,1070,416,1136076
1687,2020-03-09,CT,1.0,0.0,47,52.6,21.6,6.4,0.0,0,43,17,0,43,49,7,805,362,1070,416,1136076
1686,2020-03-09,CO,9.0,0.0,142,27.4,667.2,7.8,99.99,1,37,16,37,33,25,2,805,362,1070,416,1136076
1685,2020-03-09,CA,114.0,0.0,804,55.1,9.5,2.3,0.0,0,39,15,25,58,37,5,805,362,1070,416,1136076
1684,2020-03-09,AZ,5.0,0.0,56,64.2,967.9,3.3,0.0,0,30,10,24,20,20,5,805,362,1070,416,1136076
1683,2020-03-09,AR,0.0,0.0,12,58.7,11.8,6.1,0.0,1,30,5,27,38,0,2,805,362,1070,416,1136076
1682,2020-03-09,AL,0.0,0.0,0,55.1,999.9,5.9,0.0,0,23,8,15,32,35,3,805,362,1070,416,1136076
1681,2020-03-09,AK,0.0,0.0,32,13.1,929.4,6.5,0.0,0,30,3,0,22,0,0,805,362,1070,416,1136076
1691,2020-03-09,GA,12.0,0.0,12,54.5,20.2,3.4,0.0,0,40,12,10,32,28,6,805,362,1070,416,1136076
1705,2020-03-09,MS,0.0,0.0,0,60.9,15.6,10.2,0.0,0,27,5,0,47,58,0,805,362,1070,416,1136076
1701,2020-03-09,ME,0.0,0.0,1,41.1,8.3,2.2,0.0,0,28,8,27,32,0,3,805,362,1070,416,1136076
1707,2020-03-09,NC,2.0,0.0,2,52.4,10.0,6.0,0.0,0,32,12,9,50,14,5,805,362,1070,416,1136076
1729,2020-03-09,WV,0.0,0.0,5,51.3,993.1,2.6,0.0,0,29,7,0,44,37,13,805,362,1070,416,1136076
1728,2020-03-09,WI,1.0,0.0,37,46.3,975.4,6.3,0.0,1,23,6,0,40,13,1,805,362,1070,416,1136076
1727,2020-03-09,WA,349.0,35.0,3522,28.8,879.9,1.7,0.01,0,48,26,51,41,43,5,805,362,1070,416,1136076
1726,2020-03-09,VT,1.0,0.0,35,48.4,981.1,4.5,0.0,0,50,19,37,27,0,0,805,362,1070,416,1136076
1725,2020-03-09,VA,3.0,0.0,50,55.0,13.5,6.4,0.0,0,41,14,13,39,41,4,805,362,1070,416,1136076
1724,2020-03-09,UT,1.0,0.0,1,43.6,862.8,3.4,0.0,1,27,10,25,57,0,2,805,362,1070,416,1136076
1723,2020-03-09,TX,12.0,0.0,12,64.4,990.2,10.9,0.0,1,34,11,20,49,21,4,805,362,1070,416,1136076
1722,2020-03-09,TN,3.0,0.0,3,55.7,999.9,8.5,0.0,0,36,8,0,48,17,5,805,362,1070,416,1136076
1721,2020-03-09,SD,0.0,0.0,5,30.6,956.7,9.2,0.0,0,30,4,0,32,0,5,805,362,1070,416,1136076
1720,2020-03-09,SC,7.0,0.0,31,53.0,27.0,2.7,0.0,0,37,11,18,39,46,2,805,362,1070,416,1136076
1719,2020-03-09,RI,3.0,0.0,39,53.6,22.8,8.2,0.0,0,35,10,0,61,0,0,805,362,1070,416,1136076
1706,2020-03-09,MT,0.0,0.0,11,30.9,999.9,999.9,0.03,0,22,7,0,31,0,4,805,362,1070,416,1136076
1717,2020-03-09,OR,14.0,0.0,231,33.7,999.9,3.5,99.99,1,40,18,21,49,18,1,805,362,1070,416,1136076
1716,2020-03-09,OK,1.0,0.0,19,59.5,980.5,14.5,0.28,1,28,7,27,23,26,6,805,362,1070,416,1136076
1715,2020-03-09,OH,3.0,0.0,19,54.6,982.8,8.3,0.0,0,36,14,28,43,16,5,805,362,1070,416,1136076
1714,2020-03-09,NY,142.0,0.0,234,49.2,974.8,4.2,0.0,0,56,18,50,37,25,9,805,362,1070,416,1136076
1713,2020-03-09,NV,1.0,0.0,15,42.0,832.7,7.0,0.0,0,32,9,52,33,0,4,805,362,1070,416,1136076
1712,2020-03-09,NM,0.0,0.0,57,45.1,811.7,8.0,0.0,0,26,6,47,21,30,7,805,362,1070,416,1136076
1711,2020-03-09,NJ,11.0,0.0,60,51.1,22.9,6.9,0.0,0,49,15,20,39,50,8,805,362,1070,416,1136076
1710,2020-03-09,NH,4.0,0.0,47,44.2,0.2,4.2,0.0,0,30,17,0,18,0,3,805,362,1070,416,1136076
1730,2020-03-09,WY,0.0,0.0,0,36.8,835.4,11.8,0.0,1,31,10,47,41,0,0,805,362,1070,416,1136076
1709,2020-03-09,NE,3.0,0.0,48,41.3,948.7,14.8,0.11,1,42,19,0,64,24,2,805,362,1070,416,1136076
1708,2020-03-09,ND,0.0,0.0,0,17.9,962.3,7.1,99.99,1,25,6,70,15,0,0,805,362,1070,416,1136076
1718,2020-03-09,PA,10.0,0.0,10,49.2,10.1,2.8,0.0,0,37,14,27,41,28,4,805,362,1070,416,1136076
1644,2020-03-10,ID,0.0,0.0,41,35.8,848.7,3.9,0.0,0,25,13,0,40,0,0,667,249,1005,402,1099542
1645,2020-03-10,IL,19.0,0.0,326,43.8,988.1,12.3,0.69,1,39,16,33,48,28,6,667,249,1005,402,1099542
1646,2020-03-10,IN,6.0,0.0,36,49.7,988.6,9.7,0.16,1,48,16,18,44,23,8,667,249,1005,402,1099542
1647,2020-03-10,KS,1.0,0.0,39,39.2,985.1,4.8,0.32,0,30,10,0,34,0,5,667,249,1005,402,1099542
1652,2020-03-10,MI,358.0,0.0,421,45.8,988.0,9.0,99.99,1,32,11,23,38,18,4,667,249,1005,402,1099542
1649,2020-03-10,LA,1.0,0.0,12,68.5,20.0,4.0,0.25,1,35,11,31,35,0,4,667,249,1005,402,1099542
1650,2020-03-10,MD,6.0,0.0,95,59.1,999.9,8.3,0.0,0,53,19,10,63,32,4,667,249,1005,402,1099542
1651,2020-03-10,ME,0.0,0.0,25,38.5,4.4,4.0,0.0,0,35,14,0,49,0,8,667,249,1005,402,1099542
1643,2020-03-10,IA,8.0,0.0,51,34.5,986.0,9.4,0.38,1,46,14,25,34,71,2,667,249,1005,402,1099542
1648,2020-03-10,KY,6.0,0.0,34,56.1,984.7,9.5,99.99,1,49,12,0,70,21,7,667,249,1005,402,1099542
1642,2020-03-10,HI,2.0,0.0,2,70.6,1.0,6.5,0.06,0,40,19,33,59,0,3,667,249,1005,402,1099542
1636,2020-03-10,CO,12.0,0.0,155,28.2,671.4,12.1,0.0,0,45,20,27,29,32,3,667,249,1005,402,1099542
1640,2020-03-10,FL,19.0,0.0,396,67.8,23.2,4.7,0.0,0,39,13,39,56,42,4,667,249,1005,402,1099542
1639,2020-03-10,DE,0.0,0.0,20,56.0,999.9,18.6,0.0,0,46,12,0,20,0,6,667,249,1005,402,1099542
1638,2020-03-10,DC,5.0,0.0,24,60.6,999.9,7.7,0.0,0,71,27,21,14,0,2,667,249,1005,402,1099542
1637,2020-03-10,CT,2.0,0.0,56,51.7,14.8,6.2,0.0,0,57,21,12,50,24,6,667,249,1005,402,1099542
1635,2020-03-10,CA,133.0,0.0,823,58.5,7.7,4.4,0.0,1,45,19,31,57,31,5,667,249,1005,402,1099542
1634,2020-03-10,AZ,6.0,0.0,84,66.8,969.7,6.4,0.01,1,32,12,24,63,30,6,667,249,1005,402,1099542
1633,2020-03-10,AR,0.0,0.0,15,60.4,11.0,6.9,0.41,1,34,7,28,35,0,2,667,249,1005,402,1099542
1632,2020-03-10,AL,0.0,0.0,0,62.0,999.9,5.3,0.0,0,29,9,0,48,0,4,667,249,1005,402,1099542
1631,2020-03-10,AK,0.0,0.0,32,22.6,999.9,8.6,0.0,0,25,5,0,63,0,6,667,249,1005,402,1099542
1653,2020-03-10,MN,3.0,0.0,135,27.0,985.1,4.0,0.0,1,35,16,18,28,27,6,667,249,1005,402,1099542
1641,2020-03-10,GA,17.0,0.0,17,64.3,15.0,5.2,0.0,0,49,16,58,56,34,6,667,249,1005,402,1099542
1654,2020-03-10,MO,1.0,0.0,1,44.1,2.0,7.1,0.63,1,39,11,0,70,61,2,667,249,1005,402,1099542
1655,2020-03-10,MS,0.0,0.0,0,66.9,12.7,7.1,0.3,1,29,8,28,34,0,3,667,249,1005,402,1099542
1656,2020-03-10,MT,0.0,0.0,15,30.0,999.9,999.9,0.0,0,30,9,0,31,0,0,667,249,1005,402,1099542
1679,2020-03-10,WV,0.0,0.0,5,59.7,985.7,9.3,0.01,1,36,9,26,32,35,4,667,249,1005,402,1099542
1678,2020-03-10,WI,2.0,0.0,38,33.5,983.2,6.1,0.14,1,34,11,38,41,0,3,667,249,1005,402,1099542
1677,2020-03-10,WA,397.0,37.0,5247,32.7,882.8,2.1,0.0,0,49,30,23,65,17,3,667,249,1005,402,1099542
1676,2020-03-10,VT,1.0,0.0,41,46.6,975.0,5.5,0.0,1,44,24,37,33,0,5,667,249,1005,402,1099542
1675,2020-03-10,VA,8.0,0.0,61,60.3,7.0,8.0,99.99,1,49,17,55,46,65,5,667,249,1005,402,1099542
1674,2020-03-10,UT,2.0,0.0,2,45.5,867.2,3.9,0.0,0,30,13,25,21,20,3,667,249,1005,402,1099542
1673,2020-03-10,TX,13.0,0.0,13,64.9,992.8,4.9,0.03,1,38,14,20,47,39,4,667,249,1005,402,1099542
1672,2020-03-10,TN,7.0,0.0,7,62.0,999.9,9.9,0.0,0,41,15,34,61,51,3,667,249,1005,402,1099542
1671,2020-03-10,SD,0.0,0.0,11,30.1,958.5,5.2,0.01,1,54,8,43,24,0,5,667,249,1005,402,1099542
1670,2020-03-10,SC,7.0,0.0,31,63.3,20.7,4.2,0.0,1,38,13,28,41,0,3,667,249,1005,402,1099542
1669,2020-03-10,RI,3.0,0.0,67,55.6,16.7,9.3,0.0,0,48,17,21,27,62,3,667,249,1005,402,1099542
1680,2020-03-10,WY,0.0,0.0,0,41.6,837.9,13.3,0.0,1,34,15,0,0,67,0,667,249,1005,402,1099542
1667,2020-03-10,OR,15.0,0.0,295,32.5,999.9,3.4,99.99,1,39,16,21,53,18,2,667,249,1005,402,1099542
1666,2020-03-10,OK,2.0,0.0,28,46.6,988.2,5.2,0.03,0,34,9,28,39,0,4,667,249,1005,402,1099542
1665,2020-03-10,OH,3.0,0.0,32,53.1,975.7,11.0,99.99,1,50,20,27,40,51,6,667,249,1005,402,1099542
1664,2020-03-10,NY,173.0,0.0,265,52.0,967.7,4.8,0.0,1,57,22,37,48,32,10,667,249,1005,402,1099542
1663,2020-03-10,NV,1.0,0.0,15,40.9,836.3,8.8,0.0,0,36,16,75,61,0,7,667,249,1005,402,1099542
1662,2020-03-10,NM,0.0,0.0,69,45.8,815.8,5.6,0.0,0,30,9,0,22,0,3,667,249,1005,402,1099542
1661,2020-03-10,NJ,15.0,0.0,79,57.4,15.5,12.6,0.0,1,62,18,35,66,25,7,667,249,1005,402,1099542
1660,2020-03-10,NH,4.0,0.0,47,42.3,994.7,2.2,0.0,1,45,16,0,46,44,6,667,249,1005,402,1099542
1659,2020-03-10,NE,3.0,0.0,66,34.8,955.8,6.5,0.17,1,38,14,26,43,0,5,667,249,1005,402,1099542
1658,2020-03-10,ND,0.0,0.0,8,28.4,963.5,4.6,0.0,0,37,8,0,32,0,0,667,249,1005,402,1099542
1657,2020-03-10,NC,7.0,0.0,7,60.5,3.5,8.1,0.01,1,43,13,33,44,50,5,667,249,1005,402,1099542
1668,2020-03-10,PA,12.0,0.0,12,51.2,2.2,3.5,0.01,1,48,18,33,47,22,3,667,249,1005,402,1099542
1594,2020-03-11,ID,0.0,0.0,67,37.0,844.8,2.9,0.0,0,34,20,36,39,29,2,707,189,1162,318,1145287
1595,2020-03-11,IL,19.0,0.0,326,40.0,987.4,6.1,0.05,1,54,24,20,54,40,5,707,189,1162,318,1145287
1596,2020-03-11,IN,10.0,0.0,43,41.5,989.3,2.8,0.12,1,57,26,90,51,46,9,707,189,1162,318,1145287
1597,2020-03-11,KS,1.0,0.0,42,50.1,978.2,4.4,0.0,1,41,16,0,53,0,5,707,189,1162,318,1145287
1602,2020-03-11,MI,497.0,0.0,572,35.9,992.0,0.7,99.99,1,73,29,31,37,35,9,707,189,1162,318,1145287
1599,2020-03-11,LA,6.0,0.0,43,68.4,15.9,5.2,0.02,1,50,14,24,35,20,7,707,189,1162,318,1145287
1600,2020-03-11,MD,9.0,0.0,103,53.0,999.9,3.2,0.0,0,62,32,52,52,32,4,707,189,1162,318,1145287
1601,2020-03-11,ME,0.0,0.0,47,38.7,2.1,6.6,0.0,0,44,19,27,48,0,6,707,189,1162,318,1145287
1593,2020-03-11,IA,13.0,0.0,86,42.1,981.1,5.3,0.0,0,55,24,0,32,24,3,707,189,1162,318,1145287
1598,2020-03-11,KY,8.0,0.0,54,50.4,983.3,3.7,0.0,0,58,25,44,61,21,4,707,189,1162,318,1145287
1592,2020-03-11,HI,2.0,0.0,2,70.2,0.8,4.6,0.0,1,45,23,33,48,60,5,707,189,1162,318,1145287
1586,2020-03-11,CO,28.0,0.0,279,29.0,670.6,10.8,0.0,0,58,29,28,47,32,3,707,189,1162,318,1145287
1590,2020-03-11,FL,28.0,2.0,476,68.7,18.0,2.7,99.99,1,51,19,18,56,38,6,707,189,1162,318,1145287
1589,2020-03-11,DE,1.0,0.0,20,51.2,999.9,10.9,0.0,0,61,23,0,53,0,0,707,189,1162,318,1145287
1588,2020-03-11,DC,5.0,0.0,40,56.6,999.9,4.8,0.0,0,76,40,28,14,28,2,707,189,1162,318,1145287
1587,2020-03-11,CT,3.0,0.0,74,49.4,13.4,6.3,0.0,1,61,33,12,53,0,7,707,189,1162,318,1145287
1585,2020-03-11,CA,157.0,0.0,1073,57.3,8.6,2.8,0.28,1,51,26,29,64,28,6,707,189,1162,318,1145287
1584,2020-03-11,AZ,9.0,0.0,100,62.7,968.5,4.4,0.31,1,42,14,18,41,39,6,707,189,1162,318,1145287
1583,2020-03-11,AR,0.0,0.0,26,53.3,6.7,2.9,0.07,1,58,19,0,39,29,2,707,189,1162,318,1145287
1582,2020-03-11,AL,0.0,0.0,10,61.2,999.9,3.5,0.2,0,39,17,29,44,17,2,707,189,1162,318,1145287
1581,2020-03-11,AK,0.0,0.0,60,15.3,999.9,7.2,0.0,0,32,10,0,44,0,13,707,189,1162,318,1145287
1603,2020-03-11,MN,5.0,0.0,222,29.9,977.7,6.4,0.01,0,49,23,54,30,35,7,707,189,1162,318,1145287
1591,2020-03-11,GA,22.0,0.0,22,64.0,8.6,3.7,0.0,1,52,21,29,53,57,5,707,189,1162,318,1145287
1604,2020-03-11,MO,1.0,0.0,1,48.2,997.2,3.6,0.0,0,48,18,15,53,51,5,707,189,1162,318,1145287
1630,2020-03-11,WY,0.0,0.0,0,42.1,835.4,20.4,0.0,0,41,13,50,26,0,7,707,189,1162,318,1145287
1606,2020-03-11,MT,0.0,0.0,21,41.7,999.9,999.9,0.0,0,40,10,0,46,48,4,707,189,1162,318,1145287
1605,2020-03-11,MS,0.0,0.0,20,69.0,8.2,6.3,0.28,0,36,16,0,39,89,3,707,189,1162,318,1145287
1629,2020-03-11,WV,0.0,0.0,5,53.8,983.4,2.2,0.09,1,50,16,0,88,55,8,707,189,1162,318,1145287
1628,2020-03-11,WI,3.0,0.0,46,35.8,979.8,2.8,0.07,1,51,18,31,38,20,5,707,189,1162,318,1145287
1627,2020-03-11,WA,481.0,40.0,7458,33.0,879.1,7.7,0.07,1,59,42,55,67,100,7,707,189,1162,318,1145287
1626,2020-03-11,VT,1.0,0.0,63,32.0,978.2,8.5,0.25,1,59,33,73,26,0,5,707,189,1162,318,1145287
1625,2020-03-11,VA,9.0,0.0,69,56.7,2.1,4.5,0.0,0,62,28,27,72,24,6,707,189,1162,318,1145287
1624,2020-03-11,UT,2.0,0.0,2,46.5,865.4,4.7,0.0,0,38,20,49,39,0,4,707,189,1162,318,1145287
1622,2020-03-11,TN,7.0,0.0,57,54.9,999.9,1.5,0.0,1,50,17,34,62,51,5,707,189,1162,318,1145287
1621,2020-03-11,SD,5.0,0.0,20,40.6,949.2,5.1,0.03,0,90,29,0,42,0,0,707,189,1162,318,1145287
1620,2020-03-11,SC,9.0,0.0,41,64.1,12.8,3.0,0.02,0,44,18,19,52,35,4,707,189,1162,318,1145287
1619,2020-03-11,RI,5.0,0.0,123,52.8,13.6,8.4,0.0,0,57,34,0,61,0,3,707,189,1162,318,1145287
1623,2020-03-11,TX,21.0,0.0,21,71.9,987.9,7.6,0.01,0,53,22,38,56,18,5,707,189,1162,318,1145287
1617,2020-03-11,OR,19.0,0.0,367,41.9,999.9,3.9,0.0,0,45,22,73,76,27,3,707,189,1162,318,1145287
1618,2020-03-11,PA,16.0,0.0,158,42.4,3.5,4.6,0.08,1,59,26,23,58,67,4,707,189,1162,318,1145287
1608,2020-03-11,ND,0.0,0.0,13,36.8,952.0,9.3,0.0,0,43,20,0,16,0,15,707,189,1162,318,1145287
1609,2020-03-11,NE,5.0,0.0,68,42.7,949.7,7.1,0.01,1,53,32,26,44,0,5,707,189,1162,318,1145287
1610,2020-03-11,NH,4.0,0.0,47,40.0,993.6,7.6,0.0,1,52,28,59,58,0,4,707,189,1162,318,1145287
1611,2020-03-11,NJ,24.0,1.0,101,53.8,13.0,7.1,0.0,1,65,24,60,58,40,6,707,189,1162,318,1145287
1607,2020-03-11,NC,7.0,0.0,7,62.1,995.9,3.5,99.99,1,50,23,28,64,57,4,707,189,1162,318,1145287
1613,2020-03-11,NV,5.0,0.0,173,46.9,835.0,5.2,0.0,1,43,18,26,62,100,8,707,189,1162,318,1145287
1614,2020-03-11,NY,216.0,0.0,308,40.9,967.7,7.1,0.12,1,64,27,52,53,53,11,707,189,1162,318,1145287
1615,2020-03-11,OH,4.0,0.0,49,41.2,977.0,3.0,99.99,1,60,28,31,42,46,6,707,189,1162,318,1145287
1616,2020-03-11,OK,2.0,0.0,28,65.1,980.1,7.2,0.0,0,45,15,28,32,0,4,707,189,1162,318,1145287
1612,2020-03-11,NM,3.0,0.0,90,52.0,815.0,7.1,99.99,1,63,21,31,25,30,3,707,189,1162,318,1145287
1543,2020-03-12,ID,0.0,0.0,93,39.0,843.7,5.1,0.0,0,67,40,35,43,30,2,800,166,1324,290,1073823
1552,2020-03-12,MI,702.0,0.0,820,42.6,985.5,5.3,0.0,0,90,39,40,67,64,8,800,166,1324,290,1073823
1551,2020-03-12,ME,1.0,0.0,86,31.3,10.1,3.7,0.0,0,100,58,38,92,40,3,800,166,1324,290,1073823
1550,2020-03-12,MD,12.0,0.0,106,47.3,999.9,2.8,0.0,0,100,47,51,81,62,10,800,166,1324,290,1073823
1549,2020-03-12,MA,8.0,0.0,8,39.5,5.5,3.8,0.0,0,100,55,93,80,72,8,800,166,1324,290,1073823
1548,2020-03-12,LA,14.0,0.0,51,70.8,10.2,7.4,0.0,0,87,36,24,41,20,5,800,166,1324,290,1073823
1547,2020-03-12,KY,8.0,0.0,64,51.8,977.0,2.8,99.99,1,99,45,52,60,30,4,800,166,1324,290,1073823
1546,2020-03-12,KS,4.0,0.0,45,57.0,969.5,10.2,0.0,0,89,37,36,66,62,5,800,166,1324,290,1073823
1545,2020-03-12,IN,12.0,0.0,64,49.0,981.9,3.2,0.0,1,100,45,52,74,44,8,800,166,1324,290,1073823
1544,2020-03-12,IL,25.0,0.0,367,44.4,979.2,9.0,0.0,1,96,45,58,63,70,8,800,166,1324,290,1073823
1542,2020-03-12,IA,14.0,0.0,105,47.1,970.9,13.9,0.0,1,94,33,60,56,34,6,800,166,1324,290,1073823
1530,2020-03-12,AK,0.0,0.0,60,9.5,971.2,6.5,0.0,0,83,31,0,63,98,6,800,166,1324,290,1073823
1540,2020-03-12,GA,31.0,0.0,31,64.0,3.8,3.0,0.08,1,100,37,65,77,44,9,800,166,1324,290,1073823
1539,2020-03-12,FL,32.0,2.0,480,71.7,13.6,2.8,99.99,1,92,35,40,76,43,7,800,166,1324,290,1073823
1538,2020-03-12,DE,4.0,0.0,41,45.7,999.9,6.9,0.0,0,100,25,50,39,31,4,800,166,1324,290,1073823
1537,2020-03-12,DC,10.0,0.0,30,53.1,999.9,3.0,0.0,0,100,49,14,54,28,2,800,166,1324,290,1073823
1536,2020-03-12,CT,6.0,0.0,95,41.1,17.2,2.5,0.0,0,93,44,34,89,35,8,800,166,1324,290,1073823
1535,2020-03-12,CO,45.0,0.0,343,30.8,665.7,10.2,0.0,0,97,53,36,64,100,3,800,166,1324,290,1073823
1534,2020-03-12,CA,202.0,4.0,1118,57.1,4.2,1.3,0.01,1,97,44,69,83,75,8,800,166,1324,290,1073823
1533,2020-03-12,AZ,9.0,0.0,115,65.6,962.5,4.6,0.64,1,86,34,28,39,56,6,800,166,1324,290,1073823
1532,2020-03-12,AR,6.0,0.0,50,62.6,999.0,6.8,0.42,0,100,43,27,62,43,8,800,166,1324,290,1073823
1531,2020-03-12,AL,0.0,0.0,10,65.8,999.9,5.3,0.07,0,93,32,43,42,0,11,800,166,1324,290,1073823
1553,2020-03-12,MN,9.0,0.0,316,36.0,967.8,8.9,0.0,1,87,46,95,44,68,6,800,166,1324,290,1073823
1541,2020-03-12,HI,2.0,0.0,2,70.5,998.9,3.9,0.08,1,79,42,48,69,38,8,800,166,1324,290,1073823
1554,2020-03-12,MO,1.0,0.0,65,51.8,987.2,6.2,0.0,1,99,37,21,84,68,7,800,166,1324,290,1073823
1579,2020-03-12,WV,0.0,0.0,8,55.5,978.8,2.5,0.0,1,85,28,53,79,36,8,800,166,1324,290,1073823
1556,2020-03-12,MT,1.0,0.0,35,22.5,999.9,999.9,0.07,0,80,32,0,52,0,7,800,166,1324,290,1073823
1580,2020-03-12,WY,1.0,0.0,1,33.6,833.1,11.1,0.0,1,100,44,0,24,0,13,800,166,1324,290,1073823
1578,2020-03-12,WI,8.0,0.0,92,38.6,969.8,6.1,0.04,1,93,35,22,57,39,6,800,166,1324,290,1073823
1577,2020-03-12,WA,551.0,44.0,11122,29.2,884.1,3.8,0.19,1,90,61,44,72,58,7,800,166,1324,290,1073823
1576,2020-03-12,VT,2.0,0.0,99,30.3,980.8,3.6,0.0,1,87,51,0,71,0,5,800,166,1324,290,1073823
1575,2020-03-12,VA,17.0,0.0,134,53.0,0.5,5.2,0.0,0,99,47,71,95,40,8,800,166,1324,290,1073823
1574,2020-03-12,UT,4.0,0.0,135,46.6,861.6,3.5,0.0,1,100,52,46,83,0,6,800,166,1324,290,1073823
1573,2020-03-12,TX,23.0,0.0,23,73.2,981.6,10.7,0.0,0,100,40,73,67,40,6,800,166,1324,290,1073823
1572,2020-03-12,TN,18.0,0.0,97,62.5,999.9,5.7,0.0,0,99,30,33,68,16,8,800,166,1324,290,1073823
1571,2020-03-12,SD,8.0,0.0,46,41.9,947.3,18.5,0.0,0,100,34,84,81,0,5,800,166,1324,290,1073823
1570,2020-03-12,SC,10.0,0.0,58,66.7,8.3,2.9,0.0,0,78,33,37,52,22,5,800,166,1324,290,1073823
1569,2020-03-12,RI,5.0,0.0,107,42.1,19.5,4.5,0.0,0,87,38,21,66,45,9,800,166,1324,290,1073823
1555,2020-03-12,MS,1.0,0.0,42,70.5,2.5,9.6,0.0,0,100,37,0,47,0,14,800,166,1324,290,1073823
1567,2020-03-12,OR,19.0,0.0,367,32.8,999.9,3.6,0.0,0,93,49,100,75,34,4,800,166,1324,290,1073823
1566,2020-03-12,OK,3.0,0.0,43,68.6,972.9,8.7,0.0,0,100,32,54,35,38,5,800,166,1324,290,1073823
1565,2020-03-12,OH,5.0,0.0,87,49.0,971.4,2.6,99.99,1,98,48,44,52,39,11,800,166,1324,290,1073823
1564,2020-03-12,NY,216.0,0.0,308,39.0,968.4,5.7,0.0,0,97,45,64,71,88,15,800,166,1324,290,1073823
1563,2020-03-12,NV,7.0,0.0,175,45.3,832.4,7.6,0.0,0,91,42,74,66,60,13,800,166,1324,290,1073823
1562,2020-03-12,NM,5.0,0.0,160,52.3,809.8,6.1,99.99,1,91,40,30,45,0,10,800,166,1324,290,1073823
1561,2020-03-12,NJ,30.0,1.0,124,42.8,14.4,3.9,0.0,0,98,41,62,79,48,9,800,166,1324,290,1073823
1560,2020-03-12,NH,6.0,0.0,121,33.2,0.2,3.4,0.0,0,92,52,29,39,42,8,800,166,1324,290,1073823
1559,2020-03-12,NE,10.0,0.0,123,53.6,942.5,16.9,0.0,1,85,47,50,66,0,7,800,166,1324,290,1073823
